smiles,pCMC,T,category
CCCCCCCCCCCC(OCCO)CCS(=O)(=O)[O-].[Na+],3.445,40,anionic
CCCCCCCCCCCC(OCCOCC)CCS(=O)(=O)[O-].[Na+],2.922,40,anionic
CCCCCCCCCCCC(OC1=CC=C(C=C1))CCS(=O)(=O)[O-].[Na+],3.641,40,anionic
CCCCCCCCCCCC(OC1=C(Cl)C=C(Cl)C=C1Cl)CCS(=O)(=O)[O-].[Na+],4.787,40,anionic
CCCCCCCCCCCC(N(C)(C))CCS(=O)(=O)[O-].[Na+],2.964,40,anionic
CCCCCCCCCCCC(NCCC)CCS(=O)(=O)[O-].[Na+],3.2,40,anionic
CCCCCCCCCCCC(NCCCC)CCS(=O)(=O)[O-].[Na+],3.708,40,anionic
CCCCCCCCCCCC(N1CCOCC1)CCS(=O)(=O)[O-].[Na+],3.106,40,anionic
CCCCCCCCCCCC(N1CCCCC1)CCS(=O)(=O)[O-].[Na+],3.31,40,anionic
CCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],2.174,40,anionic
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],2.839,40,anionic
CCCCCCCCCCCCCC(OC)CCS(=O)(=O)[O-].[Na+],3.472,40,anionic
CCCCCCCCCCCCCC(OCCC)CCS(=O)(=O)[O-].[Na+],4.089,40,anionic
CCCCCCCCCCCCCC(OCCCC)CCS(=O)(=O)[O-].[Na+],4.458,40,anionic
CCCCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],2.735,40,anionic
CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],3.046,40,anionic
CCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],1.986,40,anionic
CCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],2.583,40,anionic
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],3.398,40,anionic
CCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],3.509,40,anionic
CCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],3.964,40,anionic
CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],4,40,anionic
CCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],4.106,40,anionic
CCCCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],4.899,40,anionic
CCCCCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],3.42,40,anionic
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],1.787,40,anionic
CCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],1.787,40,anionic
CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],2.432,40,anionic
CCCCCCOC(=O)S(=O)(=O)[O-].[Na+],0.733,40,anionic
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],1.144,40,anionic
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],1.621,40,anionic
CCCCCCCCCCCCCCCCC(C(=O)OC(C)C)S(=O)(=O)[O-].[Na+],4.569,40,anionic
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],2.566,40,anionic
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],0.663,40,anionic
CCCCCOC(=O)CC(C(=O)CCCCC)S(=O)(=O)[O-].[Na+],1.239,40,anionic
CCCCCCOC(CC(S(=O)([O-])=O)C(OCCCCCC)=O)=O.[Na+],1.817,40,anionic
CCCCCCCCOC(CC(S(=O)([O-])=O)C(OCCCCCCCC)=O)=O.[Na+],3.131,40,anionic
O=C(NC(C(C)C)C([O-])=O)CCCCCCCCCCCCCCC.[Na+],2.7212,25,anionic
O=C(NC(CC(C)C)C([O-])=O)CCCCCCCCCCCCCCC.[Na+],2.8239,25,anionic
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],1.9586,25,anionic
CCCCCCCCCCCCS(=O)([O-])=O.[NH4+],2.0506,25,anionic
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],2.0315,25,anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.[Li+],2.0506,25,anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.C[N+](C)(C)C,2.2596,25,anionic
CCCCCCCCCCCCS(=O)(O[O-])=O.CCC[N+](CCC)(CCC)CCC,2.6576,25,anionic
CCCCCCCCCOCCS(=O)([O-])=O.[Na+],1.7986,25,anionic
CCCCCCCCCCCCOCCS(=O)(O[O-])=O.[Na+],2.4089,25,anionic
CCCCCCCCCCCCOCCOCCS(=O)(O[O-])=O.[Na+],2.5376,25,anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCS(=O)(O[O-])=O.[Na+],4.6021,25,anionic
CCCCCCCCC(COCCOCCOCCOCCOCCS(=O)(O[O-])=O)CCCCCC.[Na+],4.0655,25,anionic
CCCCCCCCCCOC(CS(=O)([O-])=O)=O.[Na+],1.6576,25,anionic
CCCCOC(CC(S(=O)([O-])=O)C(OCCCC)=O)=O.[Na+],0.699,25,anionic
CCCCCOC(C(S(=O)([O-])=O)CC(OCCCCC)=O)=O.[Na+],1.2757,25,anionic
CCCCCCOC(CC(C(OCCCCCC)=O)S(=O)([O-])=O)=O.[Na+],1.8539,25,anionic
CCCCC(COC(CC(S(=O)([O-])=O)C(OCC(CCCC)CC)=O)=O)CC.[Na+],2.6021,25,anionic
CCCCCCCCOC(CC(C(OCCCCCCCC)=O)S(=O)([O-])=O)=O.[Na+],3.041,25,anionic
CCCCCCCCCCCCC(S(=O)([O-])=O)C(OCC)=O.[Na+],2.6478,25,anionic
CCCCCCCCCCCCC(S(=O)([O-])=O)C(OCCCC)=O.[Na+],2.8697,25,anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[K+],1.5376,25,anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],1.5229,25,anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Li+],1.4815,25,anionic
FC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Na+],1.5229,25,anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O.[Li+],2.3098,25,anionic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)([O-])=O.[Li+],2.2007,25,anionic
CCCCCCCCCCCC([O-])=O.[Na+],2.5243,25,anionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCC([O-])=O.[Na+],2.4572,25,anionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC([O-])=O.[Na+],2.2291,25,anionic
CCCCCCCCCC1=CC=C(C=C1)OCC(C)OCC(OCC(S(=O)(O[O-])=O)C)C.[Na+],4.2291,25,anionic
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C=C1.[Na+],4.5229,25,anionic
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(OCC(OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C)C)C=C1.[Na+],4.7959,25,anionic
