"SMILES","Tail (C number)","Tail (SMILES)","Head (SMILES)","Head 2 (SMILES)","Head 3 (SMILES)","Counterion","Additives","Conc. A.","pH","IUPAC_Name","Preferred_Name","Surfactant_Type","Molecular_Formula","Molecular_Weight","CMC","pCMC","Temp_Celsius"
"CCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+]",9,"CCCCCC(CC(F)C(F)(F)F)","OS(=O)(=O)[O-]",,,"[Na+]",,,,"sodium 6-(1,1,1-trifluoro-2-fluoroethyl)hexyl sulfate",,"anionic","C9H15F4NaO4S",318.05,0.009099,2.04100633496967,25
"CCCCCC(CCCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O",6,"CCCCCC(CCCC)","O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O",,,,,,,"1-Butylhexyl-Î˛-D-glucoside","1-Butylhexyl-Î˛-D-glucoside","sugar-based non-ionic",,320.22,0.015,1.82390874094432,25
"CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]",10,"CCCCCC(CCCC)c1ccc()cc1","S(=O)(=O)[O-]",,,"[Na+]",,,,"sodium-4-decan-5-ylbenzenesulfonate","Sodium 4-(decan-5-yl)benzene-1-sulfonate","anionic","C16H25NaO3S",320.14,0.008974,2.04701393480294,25
"CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+]",11,"CCCCCC(CCCCC)","OS(=O)(=O)[O-]",,,"[Na+]",,,,"sodium-undecan-6-ylsulfate","Sodium undecan-6-yl sulfate","anionic","C11H23NaO4S",274.12,0.08299,1.08097423541264,25
"CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]",11,"CCCCCC(CCCCC)c1ccc()cc1","S(=O)(=O)[O-]",,,"[Na+]",,,,"sodium-4-undecan-6-yl-benzenesulfonate","Sodium;4-undecan-6-ylbenzenesulfonate","anionic","C17H27NaO3S",334.16,0.005623,2.2500319164906,25
"CCCCCC(CS(=O)(=O)[O-])OCO.[Na+]",6,"CCCCCC(C)OCO","S(=O)(=O)[O-]",,,"[Na+]",,,,"sodium 2-(hydroxymethoxy)heptane-1-sulfonate","sodium 2-(hydroxymethoxy)heptane-1-sulfonate","anionic","C8H17NaO5S",248.07,0.1849,0.733063088840827,25
"CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+]",9,"CCCCCC(F)(OS()C(F)(F)C(F)(F)C(F)(F)F","OS(=O)(=O)[O-]",,,"[Na+]",,,,"sodium 1,1,1,2,2,3,3,4-octafluorononan-4-yl sulfate","sodium 1,1,1,2,2,3,3,4-octafluorononan-4-yl sulfate","anionic","C9H11F8NaO4S",390.01,0.00016,3.79588001734408,25
"CCCCCC(O)OCCOCCOCCOCCOCCOCC",6,"CCCCCC","(O)OCCOCCOCCOCCOCCOCC",,,,,,,,,"non-ionic",,366.26,0.074,1.13076828026902,25
"CCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+]",9,"CCCCCC(OS()C(F)C(F)(F)C(F)(F)F","OS(=O)(=O)[O-]",,,"[Na+]",,,,"sodium 1,1,1,2,2,3-hexafluorononan-4-yl sulfate","sodium 1,1,1,2,2,3-hexafluorononan-4-yl sulfate","anionic","C9H13F6NaO4S",354.03,0.001199,2.92118081690115,25
"CCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-]",6,"CCCCCCC(=O)OC(C)C(=O)NCCC","[N+](C)(C)C",,,"COS(=O)(=O)[O-]",,,,"3-(2-heptanoyloxypropanoylamino)propyl-trimethylazanium;methyl sulfate","3-(2-heptanoyloxypropanoylamino)propyl-trimethylazanium;methyl sulfate","zwitterionic",,412.22,,,
"CCCCCCC(=O)OCC(O)C(O)C(O)CO",7,"CCCCCCC(=O)","OCC(O)C(O)C(O)CO",,,,,,,"2,3,4,5-tetrahydroxypentyl-heptanoate","Xylitol, 1-O-heptanoyl-","sugar-based non-ionic","C12H24O6",264.16,0.01,2,25
"CCCCCCC(C)OS(=O)(=O)[O-].[Na+]",8,"CCCCCCC(C)","OS(=O)(=O)[O-]",,,"[Na+]",,,,"sodium-octan-2-ylsulfate","Sodium;octan-2-yl sulfate","anionic","C8H17NaO4S",232.07,0.1799,0.744968836654449,25
"CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]",9,"CCCCCCC(CC)c1ccc()cc1","S(=O)(=O)[O-]",,,"[Na+]",,,,"sodium-4-nonan-3-ylbenzenesulfonate","Natrium-p-3-nonylbenzolsulfonat","anionic","C15H23NaO3S",306.13,0.01079,1.96697855531709,25
"CCCCCCC(CCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O",7,"CCCCCCC(CCC)","O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O",,,,,,,"1-Propylheptyl-Î˛-D-glucoside","1-Propylheptyl-Î˛-D-glucoside","sugar-based non-ionic",,320.22,0.012,1.92081875395238,25
"CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+]",12,"CCCCCCC(CCCCC)","S(=O)(=O)[O-]",,,"[Na+]",,,,"sodium-dodecane-6-sulfonate","Sodium;dodecane-6-sulfonate","anionic","C12H25NaO3S",272.14,0.03614,1.44201185177509,25
"CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]",12,"CCCCCCC(CCCCC)c1ccc()cc1","S(=O)(=O)[O-]",,,"[Na+]",,,,"sodium-4-dodecan-6-ylbenzenesulfonat","Sodium 4-(6-dodecyl)benzenesulfonate","anionic","C18H29NaO3S",348.17,0.0026,2.58502665202918,25
