smiles,temp,pCMC
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC([O-])=O.[Na+],25.0,2.2291
CCCCCCCCCC1=CC=C(C=C1)OCC(C)OCC(OCC(S(=O)(O[O-])=O)C)C.[Na+],25.0,4.2291
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C=C1.[Na+],25.0,4.5229
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(OCC(OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C)C)C=C1.[Na+],25.0,4.7959
CCCCCCCCCC1=CC=C(OCC(OCC(C)OCC(OCC(C)OCC(C)OCC(OCC(OCC(C)OCC(C)OCC(OCC(C)OCC(S(=O)(O[O-])=O)C)C)C)C)C)C)C=C1.[Na+],25.0,4.9208
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)S(=O)([O-])=O.[Na+],25.0,3.8297
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)S(=O)([O-])=O.[Na+],25.0,4.2757
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)S(=O)([O-])=O.[Na+],25.0,4.8861
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC([O-])=O.[Na+],25.0,3.5421
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC([O-])=O.[Na+],25.0,3.9914
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC([O-])=O.[Na+],25.0,4.4437
CCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCS(=O)(O[O-])=O.[Na+],25.0,3.7696
